antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Rainfall_mm_Low', 'Irrigation_Used_False', 'Fertilizer_Used_False'})",frozenset({'Yield_tons_per_hectare_Low'}),0.0561,0.18082,0.0554,0.9875222816399287,5.4613553901113185,1.0,0.045255998,65.65142571428585,0.865446838391909,0.3052005288673424,0.984768038330927,0.6469521595125869
"frozenset({'Rainfall_mm_Low', 'Fertilizer_Used_True', 'Irrigation_Used_True'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.05762,0.73156,0.05661,0.9824713641096842,1.3429812511751382,1.0,0.014457512800000002,15.314369108910915,0.2710031694118294,0.07727589172365781,0.934701848121309,0.5299269719011979
"frozenset({'Temperature_Celsius_Medium', 'Rainfall_mm_Medium', 'Fertilizer_Used_True'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.06587,0.73156,0.06431,0.97631698800668,1.3345685767492481,1.0,0.01612214280000001,11.334706923077002,0.26837183401591136,0.08772097337407246,0.911775398624199,0.5321125100785765
"frozenset({'Temperature_Celsius_Medium', 'Rainfall_mm_Medium', 'Irrigation_Used_True'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.06544,0.73156,0.06213,0.949419315403423,1.2978010216570384,1.0,0.014256713599999998,5.307164229607247,0.2455335724451602,0.08454556588240097,0.8115754559805654,0.5171737071303297
"frozenset({'Rainfall_mm_Medium', 'Fertilizer_Used_True', 'Temperature_Celsius_High'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.0668,0.73156,0.06562,0.9823353293413174,1.3427952995534438,1.0,0.016751792,15.196433898305113,0.27355856427262504,0.08955427573218332,0.9341950876967569,0.5360170276757438
"frozenset({'Rainfall_mm_Medium', 'Irrigation_Used_True', 'Temperature_Celsius_High'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.06763,0.73156,0.06536,0.9664350140470206,1.321060492710127,1.0,0.015884597200000003,7.997619911894282,0.2606608888111553,0.08906695011106115,0.8749628000559552,0.5278891675845032
"frozenset({'Weather_Condition_Cloudy', 'Rainfall_mm_Medium', 'Fertilizer_Used_True'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.05526,0.73156,0.05417,0.9802750633369527,1.3399790356730175,1.0,0.013743994400000008,13.609169174311997,0.2685603104692892,0.07393707773152257,0.9265201286579969,0.5271611524241218
"frozenset({'Weather_Condition_Cloudy', 'Rainfall_mm_Medium', 'Irrigation_Used_True'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.0562,0.73156,0.05397,0.9603202846975089,1.312702013091898,1.0,0.012856328,6.76516950672645,0.2523972117180466,0.07354965317052561,0.8521840437248877,0.5170470689166368
"frozenset({'Rainfall_mm_Medium', 'Fertilizer_Used_True', 'Weather_Condition_Rainy'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.05492,0.73156,0.05376,0.9788783685360526,1.3380698350593971,1.0,0.013582724800000008,12.70924551724147,0.26733699918575815,0.07337045528987882,0.9213171231413075,0.5261825819387573
"frozenset({'Rainfall_mm_Medium', 'Irrigation_Used_True', 'Weather_Condition_Rainy'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.05586,0.73156,0.05365,0.960436806301468,1.3128612913519986,1.0,0.012785058400000007,6.785094298642541,0.2524042086970731,0.07311555392016572,0.8526181131778722,0.5168866190181953
"frozenset({'Rainfall_mm_Medium', 'Fertilizer_Used_True', 'Weather_Condition_Sunny'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.05616,0.73156,0.0551,0.9811253561253561,1.3411413364937341,1.0,0.0140155904,14.222255094339618,0.26950164428496753,0.07520952198957169,0.929687662514365,0.5282219267914221
"frozenset({'Rainfall_mm_Medium', 'Weather_Condition_Sunny', 'Irrigation_Used_True'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.05446,0.73156,0.05241,0.9623576937201616,1.315487032806826,1.0,0.0125692424,7.1313377560975555,0.25363841824422423,0.0714412289908807,0.8597738553127758,0.5169995587634106
"frozenset({'Irrigation_Used_False', 'Rainfall_mm_Medium', 'Yield_tons_per_hectare_Low'})",frozenset({'Fertilizer_Used_False'}),0.05497,0.50098,0.0528,0.9605239221393488,1.9172899559650063,1.0,0.025261129400000002,12.641073456221214,0.5062595696016063,0.10493888502434662,0.9208927941552418,0.5329586755093726
"frozenset({'Rainfall_mm_Medium', 'Yield_tons_per_hectare_Low', 'Fertilizer_Used_False'})",frozenset({'Irrigation_Used_False'}),0.05815,0.4998,0.0528,0.9079965606190885,1.8167198091618417,1.0,0.023736629999999998,5.436753271028034,0.47731314579140666,0.10452340888844895,0.8160666945603529,0.5068194087609248
"frozenset({'Rainfall_mm_Medium', 'Irrigation_Used_True', 'Fertilizer_Used_False'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.08257,0.73156,0.07722,0.9352064914617899,1.2783729174118186,1.0,0.016815090799999995,4.143007626168219,0.2373539601011996,0.10478891587846548,0.7586294570920501,0.5203808716262419
"frozenset({'Irrigation_Used_False', 'Rainfall_mm_Medium', 'Fertilizer_Used_True'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.08239,0.73156,0.08022,0.973661852166525,1.3309391603785403,1.0,0.019946771599999996,10.19206064516127,0.2709766187686948,0.10933177054229758,0.9018844142695761,0.5416589647950565
"frozenset({'Rainfall_mm_Medium', 'Fertilizer_Used_True', 'Irrigation_Used_True'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.08395,0.73156,0.08281,0.986420488385944,1.3483794745283284,1.0,0.021395538,19.76801578947364,0.28204684613741415,0.11302033574450662,0.9494132334448815,0.5498084726362986
"frozenset({'Temperature_Celsius_Medium', 'Fertilizer_Used_False', 'Rainfall_mm_High'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.08874,0.73156,0.08585,0.9674329501915708,1.3224246134173148,1.0,0.0209313656,8.242687058823517,0.2675561614937255,0.11689018993804887,0.8786803389642781,0.5423924551931116
"frozenset({'Temperature_Celsius_Medium', 'Irrigation_Used_False', 'Rainfall_mm_High'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.08996,0.73156,0.08498,0.944642063139173,1.2912707954770257,1.0,0.0191688624,4.849169156626508,0.24786724025144816,0.11537730469492492,0.7937791057188682,0.5304023919501432
"frozenset({'Fertilizer_Used_False', 'Temperature_Celsius_High', 'Rainfall_mm_High'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.08927,0.73156,0.08607,0.9641536910496247,1.3179420567685831,1.0,0.020763638799999998,7.488637124999988,0.26488783862002024,0.11714029070716968,0.8664643534854145,0.5409031892286781
"frozenset({'Irrigation_Used_False', 'Temperature_Celsius_High', 'Rainfall_mm_High'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.0882,0.73156,0.08211,0.930952380952381,1.2725577956044356,1.0,0.017586407999999998,3.8877517241379325,0.23489918202324844,0.11131295329763438,0.7427819287452726,0.5215959892623461
"frozenset({'Weather_Condition_Cloudy', 'Fertilizer_Used_False', 'Rainfall_mm_High'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.07337,0.73156,0.07072,0.9638816955158784,1.3175702546829766,1.0,0.017045442800000005,7.432242566037738,0.2601115751853785,0.09632121600087169,0.8654511083142543,0.5302759125509842
"frozenset({'Irrigation_Used_False', 'Weather_Condition_Cloudy', 'Rainfall_mm_High'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.07317,0.73156,0.06798,0.9290692906929069,1.269983720669401,1.0,0.014451754800000001,3.784538497109825,0.22937144013714753,0.09227010519172041,0.7357669896174448,0.5109969997671435
"frozenset({'Weather_Condition_Rainy', 'Fertilizer_Used_False', 'Rainfall_mm_High'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.0739,0.73156,0.07106,0.9615696887686063,1.3144098758387641,1.0,0.016997716000000003,6.985111267605642,0.25828993403391587,0.09675925925925927,0.8568383578028843,0.5293522892965454
"frozenset({'Irrigation_Used_False', 'Rainfall_mm_High', 'Weather_Condition_Rainy'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.07448,0.73156,0.06965,0.9351503759398496,1.2782962107548932,1.0,0.015163411200000004,4.139422608695652,0.23522852398390956,0.09458303344695067,0.7584204140211951,0.515178938858437
"frozenset({'Weather_Condition_Sunny', 'Fertilizer_Used_False', 'Rainfall_mm_High'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.07461,0.73156,0.07202,0.9652861546709557,1.3194900687174747,1.0,0.017438308400000005,7.732937606177618,0.26165343156547927,0.09809984335626235,0.8706830378146166,0.5318666543489833
"frozenset({'Irrigation_Used_False', 'Weather_Condition_Sunny', 'Rainfall_mm_High'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.0749,0.73156,0.06987,0.9328437917222965,1.2751432441936361,1.0,0.015076156000000007,3.997247713717699,0.23324438546456958,0.09485602574023541,0.749827863665238,0.5141760103561999
"frozenset({'Irrigation_Used_False', 'Fertilizer_Used_False', 'Rainfall_mm_High'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.1116,0.73156,0.10928,0.9792114695340501,1.3385251647630407,1.0,0.027637904000000005,12.912889655172389,0.2846792859059306,0.14890717828527825,0.92255800005234,0.5642954389608028
"frozenset({'Irrigation_Used_True', 'Fertilizer_Used_False', 'Rainfall_mm_High'})",frozenset({'Yield_tons_per_hectare_Medium'}),0.11028,0.73156,0.10452,0.9477693144722524,1.2955455662860906,1.0,0.0238435632,5.139507499999999,0.25640022560536213,0.14175663212716325,0.8054288275676219,0.5453210397611412
"frozenset({'Fertilizer_Used_True', 'Yield_tons_per_hectare_High', 'Irrigation_Used_True'})",frozenset({'Rainfall_mm_High'}),0.06882,0.44284,0.06768,0.983435047951177,2.2207457500478207,1.0,0.037203751199999996,33.6348694736842,0.5903271285925781,0.15243929906752557,0.970268949585715,0.568133385234734
"frozenset({'Irrigation_Used_True', 'Yield_tons_per_hectare_High', 'Rainfall_mm_High'})",frozenset({'Fertilizer_Used_True'}),0.07344,0.49901,0.06768,0.9215686274509803,1.846793906837499,1.0,0.031032705600000002,6.387622499999996,0.49486386616062333,0.13408086851437287,0.8434472293877728,0.5285985859845631
"frozenset({'Irrigation_Used_True', 'Yield_tons_per_hectare_High'})","frozenset({'Fertilizer_Used_True', 'Rainfall_mm_High'})",0.07458,0.22095,0.06768,0.9074818986323412,4.10718216172139,1.0,0.051201549000000006,8.420514347826094,0.8174926726772019,0.2970375246872943,0.8812424088727825,0.6068977721267612
